Ticker,Kurs,RSI,SMA20,SMA50,SMA200,1M %,3M %,6M %,1Y %,Volatilität,Ø Volumen,Vol Ratio,% vom Hoch,% vom Tief,Trend Score
GPN,65.44,41.5,67.56,71.6,78.59,-7.0,-17.4,-24.5,-22.0,42.2,3022058,1.22,-26.6,4.4,0
GL,145.84,61.4,139.99,141.9,136.7,5.3,3.0,7.3,23.1,21.7,567045,0.64,-1.4,25.5,4
GDDY,79.29,38.6,82.14,87.68,126.04,-1.8,-30.2,-40.7,-53.9,35.6,1710705,1.15,-58.8,0.2,0
GS,907.8,65.4,838.56,870.58,808.39,15.3,-2.8,17.6,87.4,27.1,2165371,0.76,-6.5,87.4,4
HAL,37.59,53.2,37.53,35.75,27.59,7.9,15.8,62.4,83.3,37.5,14004969,0.81,-7.0,99.5,5
HIG,137.23,52.3,135.05,137.67,131.29,2.1,1.1,6.4,20.2,18.7,1525380,0.81,-4.0,22.2,3
HAS,91.73,48.0,91.61,95.12,82.1,-3.6,6.5,24.9,82.6,30.2,1943334,0.86,-12.8,84.4,3
HCA,495.47,48.5,492.37,510.7,449.68,-6.8,5.1,18.6,49.6,26.4,1304334,0.56,-9.0,57.0,3
DOC,16.74,47.4,16.88,16.94,17.07,-0.4,2.0,-6.0,-1.2,23.6,7838338,0.66,-10.4,8.0,0
HSIC,75.34,50.8,74.01,76.74,72.3,0.5,-3.0,16.7,16.9,27.5,1500735,0.58,-9.6,21.5,3
HSY,202.31,37.8,211.37,217.23,189.63,-6.1,7.7,6.6,25.9,27.0,1736065,1.09,-14.4,36.7,2
HPE,24.89,61.3,23.47,22.44,22.36,16.1,13.0,-4.0,80.5,38.3,22110447,0.57,-4.0,80.5,5
HLT,323.43,64.8,302.93,306.74,282.02,9.9,7.7,24.5,52.6,23.2,1846473,0.69,-0.5,58.4,4
