Date,close,vol_regime,combined_score,position_scalar,short_vol,long_vol,regime_str
2018-06-29,240.8041534423828,normal,2.85,1.0,0.1285,0.1159,bull_trend
2018-07-02,241.31895446777344,normal,2.85,1.0,0.0835,0.1133,bull_trend
2018-07-03,240.4668426513672,normal,2.85,1.0,0.0866,0.1118,bull_trend
2018-07-05,242.4285125732422,calm,3.0,1.0,0.0708,0.1119,bull_trend
2018-07-06,244.47901916503906,normal,2.85,1.0,0.08,0.103,bull_trend
2018-07-09,246.680419921875,normal,2.85,1.0,0.0865,0.1039,bull_trend
2018-07-10,247.56809997558594,normal,2.85,1.0,0.0842,0.0996,bull_trend
2018-07-11,245.75730895996094,normal,2.85,1.0,0.1093,0.1002,bull_trend
2018-07-12,247.98532104492188,normal,2.85,1.0,0.1115,0.1005,bull_trend
2018-07-13,248.18055725097656,normal,2.85,1.0,0.1078,0.1002,bull_trend
2018-07-16,247.9586944580078,normal,2.85,1.0,0.0954,0.0991,bull_trend
2018-07-17,248.96170043945312,normal,2.85,1.0,0.0962,0.0973,bull_trend
2018-07-18,249.4854736328125,calm,3.0,1.0,0.0608,0.0973,bull_trend
2018-07-19,248.54449462890625,calm,3.0,1.0,0.0472,0.0969,bull_trend
2018-07-20,248.2604522705078,calm,3.0,1.0,0.0483,0.0952,bull_trend
2018-07-23,248.72206115722656,calm,3.0,1.0,0.0488,0.0952,bull_trend
2018-07-24,249.97369384765625,calm,3.0,1.0,0.0535,0.091,bull_trend
2018-07-25,252.10401916503906,normal,2.85,1.0,0.0773,0.0921,bull_trend
2018-07-26,251.50924682617188,normal,2.85,1.0,0.0709,0.0906,bull_trend
2018-07-27,249.80503845214844,normal,2.85,1.0,0.0956,0.0919,bull_trend
2018-07-30,248.5000762939453,normal,2.85,1.0,0.1055,0.0911,bull_trend
2018-07-31,249.72508239746094,normal,2.85,1.0,0.1052,0.0915,bull_trend
2018-08-01,249.30787658691406,normal,2.85,1.0,0.0715,0.0903,bull_trend
2018-08-02,250.6660614013672,normal,2.85,1.0,0.0897,0.0904,bull_trend
2018-08-03,251.74014282226562,normal,2.3,1.0,0.0754,0.0875,bull_trend
2018-08-06,252.6632843017578,calm,2.45,1.0,0.0456,0.0875,bull_trend
2018-08-07,253.4976043701172,calm,2.45,1.0,0.0435,0.0876,bull_trend
2018-08-08,253.39114379882812,calm,3.0,1.0,0.0351,0.0859,bull_trend
2018-08-09,253.0449981689453,calm,3.0,1.0,0.0411,0.0843,bull_trend
2018-08-10,251.3495635986328,normal,2.85,1.0,0.0668,0.0855,bull_trend
2018-08-13,250.40863037109375,calm,3.0,1.0,0.0594,0.086,bull_trend
2018-08-14,252.0063934326172,normal,2.85,1.0,0.0773,0.0854,bull_trend
2018-08-15,250.12461853027344,normal,2.85,1.0,0.0884,0.0867,bull_trend
